Fold,ACC,Sn,Sp,MCC,AUROC,PR_AUC,F1_Score,Precision
1,0.7626086956521739,0.8724137931034482,0.6508771929824562,0.5371803458979137,0.8668693284936478,0.8586810821027818,0.7875486381322957,0.7177304964539007
2,0.7852173913043479,0.7482758620689656,0.8228070175438597,0.5724480976201821,0.8633393829401088,0.8617243520894322,0.7784753363228699,0.811214953271028
3,0.7930434782608695,0.8086206896551724,0.7771929824561403,0.5861825903156569,0.8661252268602541,0.8615011351155395,0.7976190476190477,0.7869127516778524
4,0.8208695652173913,0.7982758620689655,0.843859649122807,0.6426255396343666,0.9061524500907441,0.9109646878155022,0.8180212014134276,0.8387681159420289
5,0.8130434782608695,0.8103448275862069,0.8157894736842105,0.6261106284485685,0.8886418632788868,0.8885030020405006,0.8138528138528138,0.8173913043478261
Mean,0.7949565217391303,0.8075862068965517,0.7821052631578947,0.5929094403833376,0.8782256503327283,0.8762748518327512,0.7991034074680909,0.7944035243385272
Std,0.02070514944670976,0.039536554226375406,0.06906489692809595,0.03779856728859095,0.01664566542781981,0.020456944345358042,0.01507754127301336,0.04174720120128909
